Index,Date,Answer
551,12/21/2022,LUNAR
550,12/20/2022,THIRD
549,12/19/2022,SLATE
548,12/18/2022,TAPER
547,12/17/2022,CHORD
546,12/16/2022,PROBE
545,12/15/2022,RIVAL
544,12/14/2022,USUAL
543,12/13/2022,SPOKE
542,12/12/2022,APPLY
541,12/11/2022,NAIVE
540,12/10/2022,KNOCK
539,12/9/2022,BRAID
538,12/8/2022,INFER
537,12/7/2022,JOUST
536,12/6/2022,AMBER
535,12/5/2022,WOKEN
534,12/4/2022,ADORE
533,12/3/2022,TORSO
532,12/2/2022,CHAFE
531,12/1/2022,EJECT
530,11/30/2022,STUDY
529,11/29/2022,UNDUE
528,11/28/2022,TEPID
527,11/27/2022,HAPPY
526,11/26/2022,CLEAN
525,11/25/2022,ITCHY
524,11/24/2022,FEAST
523,11/23/2022,DRIVE
522,11/22/2022,PRIME
521,11/21/2022,AXIOM
520,11/20/2022,BRAVE
519,11/19/2022,AVERT
518,11/18/2022,GLYPH
517,11/17/2022,THERE
516,11/16/2022,BAKER
515,11/15/2022,SNARL
514,11/14/2022,MAPLE
513,11/13/2022,INANE
512,11/12/2022,VALET
511,11/11/2022,MEDAL
510,11/10/2022,UNITE
509,11/9/2022,RAINY
508,11/8/2022,SPELL
507,11/7/2022,BEGIN
506,11/6/2022,STALE
505,11/5/2022,DREAM
504,11/4/2022,PHOTO
503,11/3/2022,ALOUD
502,11/2/2022,INEPT
501,11/1/2022,PINEY
500,10/31/2022,APTLY
499,10/30/2022,WALTZ
498,10/29/2022,LIBEL
497,10/28/2022,SNEAK
496,10/27/2022,CARRY
495,10/26/2022,FLOUT
494,10/25/2022,FOGGY
493,10/24/2022,FAULT
492,10/23/2022,MUMMY
491,10/22/2022,SPIEL
490,10/21/2022,GROVE
489,10/20/2022,DENIM
488,10/19/2022,QUIRK
487,10/18/2022,EXIST
486,10/17/2022,STEIN
485,10/16/2022,SPADE
484,10/15/2022,CATCH
483,10/14/2022,FLOOR
482,10/13/2022,EQUAL
481,10/12/2022,IONIC
480,10/11/2022,VALID
479,10/10/2022,ENJOY
478,10/9/2022,HOWDY
477,10/8/2022,VIGOR
476,10/7/2022,DANDY
475,10/6/2022,SLOTH
474,10/5/2022,MARSH
473,10/4/2022,BOUGH
472,10/3/2022,STING
471,10/2/2022,TWINE
470,10/1/2022,LEAVE
469,9/30/2022,SCORN
468,9/29/2022,SCALD
467,9/28/2022,USURP
466,9/27/2022,SOGGY
465,9/26/2022,BRISK
464,9/25/2022,ADMIT
463,9/24/2022,GRATE
462,9/23/2022,GLORY
461,9/22/2022,SAINT
460,9/21/2022,RECAP
459,9/20/2022,ALIKE
458,9/19/2022,TRICE
457,9/18/2022,STICK
456,9/17/2022,CHUTE
455,9/16/2022,PARER
454,9/15/2022,DOUBT
453,9/14/2022,THYME
452,9/13/2022,ALPHA
451,9/12/2022,BOOZE
450,9/11/2022,TIBIA
449,9/10/2022,LOFTY
448,9/9/2022,THEME
447,9/8/2022,CLASS
446,9/7/2022,LEERY
445,9/6/2022,TAUNT
444,9/5/2022,WHOOP
443,9/4/2022,INTER
442,9/3/2022,GULLY
441,9/2/2022,CHARM
440,9/1/2022,FUNGI
439,8/31/2022,PRIZE
438,8/30/2022,ONSET
437,8/29/2022,CHIEF
436,8/28/2022,GAUZE
435,8/27/2022,RUDER
434,8/26/2022,IRONY
433,8/25/2022,CLOWN
432,8/24/2022,NEEDY
431,8/23/2022,WOVEN
430,8/22/2022,MERIT
429,8/21/2022,WASTE
428,8/20/2022,TREAT
427,8/19/2022,SHRUG
426,8/18/2022,TWANG
425,8/17/2022,TWICE
424,8/16/2022,GRUEL
423,8/15/2022,POKER
422,8/14/2022,KHAKI
421,8/13/2022,HUNKY
420,8/12/2022,LABEL
419,8/11/2022,GLEAN
418,8/10/2022,CLING
417,8/9/2022,PATTY
416,8/8/2022,UNFIT
415,8/7/2022,SMEAR
414,8/6/2022,ALIEN
413,8/5/2022,BUGGY
412,8/4/2022,RHYME
411,8/3/2022,YOUTH
410,8/2/2022,COYLY
409,8/1/2022,QUART
408,7/31/2022,CRAMP
407,7/30/2022,BLUFF
406,7/29/2022,UPSET
405,7/28/2022,STOMP
404,7/27/2022,MOTTO
403,7/26/2022,CINCH
402,7/25/2022,ELOPE
401,7/24/2022,POWER
400,7/23/2022,MIDGE
399,7/22/2022,TRYST
398,7/21/2022,APHID
397,7/20/2022,TRITE
396,7/19/2022,ANGRY
395,7/18/2022,FLOCK
394,7/17/2022,WACKY
393,7/16/2022,ROOMY
392,7/15/2022,WEDGE
391,7/14/2022,LIVER
390,7/13/2022,BLAND
389,7/12/2022,NIGHT
388,7/11/2022,MADAM
387,7/10/2022,BERTH
386,7/9/2022,STEAD
385,7/8/2022,VOICE
384,7/7/2022,AGAPE
383,7/6/2022,FLUFF
382,7/5/2022,FIELD
381,7/4/2022,SEVER
380,7/3/2022,LILAC
379,7/2/2022,EGRET
378,7/1/2022,PINTO
377,6/30/2022,HUTCH
376,6/29/2022,GAWKY
375,6/28/2022,DROLL
374,6/27/2022,RETRO
373,6/26/2022,RUSTY
372,6/25/2022,BEADY
371,6/24/2022,SMITE
370,6/23/2022,BRINK
369,6/22/2022,AWFUL
368,6/21/2022,GLOAT
367,6/20/2022,INPUT
366,6/19/2022,LOSER
365,6/18/2022,CACAO
364,6/17/2022,BLOWN
363,6/16/2022,APRON
362,6/15/2022,PRIMO
361,6/14/2022,ATONE
360,6/13/2022,DONOR
359,6/12/2022,FLOAT
358,6/11/2022,GOOSE
357,6/10/2022,PIETY
356,6/9/2022,GIRTH
355,6/8/2022,TRAIT
354,6/7/2022,FLOOD
353,6/6/2022,GLOOM
352,6/5/2022,DEPTH
351,6/4/2022,FROTH
350,6/3/2022,PHASE
349,6/2/2022,SHOWY
348,6/1/2022,CREAK
347,5/31/2022,MANOR
346,5/30/2022,ATOLL
345,5/29/2022,BAYOU
344,5/28/2022,CREPT
343,5/27/2022,TIARA
342,5/26/2022,ASSET
341,5/25/2022,VOUCH
340,5/24/2022,ALBUM
339,5/23/2022,HINGE
338,5/22/2022,MONEY
337,5/21/2022,SCRAP
336,5/20/2022,GAMER
335,5/19/2022,GLASS
334,5/18/2022,SCOUR
333,5/17/2022,BEING
332,5/16/2022,DELVE
331,5/15/2022,YIELD
330,5/14/2022,METAL
329,5/13/2022,TIPSY
328,5/12/2022,SLUNG
327,5/11/2022,FARCE
326,5/10/2022,GECKO
325,5/9/2022,SHINE
324,5/8/2022,CANNY
323,5/7/2022,MIDST
322,5/6/2022,BADGE
321,5/5/2022,HOMER
320,5/4/2022,TRAIN
319,5/3/2022,HAIRY
318,5/2/2022,STORY
317,5/1/2022,FORGO
316,4/30/2022,LARVA
315,4/29/2022,TRASH
314,4/28/2022,ZESTY
313,4/27/2022,SHOWN
312,4/26/2022,HEIST
311,4/25/2022,ASKEW
310,4/24/2022,INERT
309,4/23/2022,OLIVE
308,4/22/2022,PLANT
307,4/21/2022,OXIDE
306,4/20/2022,CARGO
305,4/19/2022,FOYER
304,4/18/2022,FLAIR
303,4/17/2022,AMPLE
302,4/16/2022,CHEEK
301,4/15/2022,SHAME
300,4/14/2022,MINCE
299,4/13/2022,CHUNK
298,4/12/2022,ROYAL
297,4/11/2022,SQUAD
296,4/10/2022,BLACK
295,4/9/2022,STAIR
294,4/8/2022,SCARE
293,4/7/2022,FORAY
292,4/6/2022,COMMA
291,4/5/2022,NATAL
290,4/4/2022,SHAWL
289,4/3/2022,FEWER
288,4/2/2022,TROPE
287,4/1/2022,SNOUT
286,3/31/2022,LOWLY
285,3/30/2022,STOVE
284,3/29/2022,SHALL
283,3/28/2022,FOUND
282,3/27/2022,NYMPH
281,3/26/2022,EPOXY
280,3/25/2022,DEPOT
279,3/24/2022,CHEST
278,3/23/2022,PURGE
277,3/22/2022,SLOSH
276,3/21/2022,THEIR
275,3/20/2022,RENEW
274,3/19/2022,ALLOW
273,3/18/2022,SAUTE
272,3/17/2022,MOVIE
271,3/16/2022,CATER
270,3/15/2022,TEASE
269,3/14/2022,SMELT
268,3/13/2022,FOCUS
267,3/12/2022,TODAY
266,3/11/2022,WATCH
265,3/10/2022,LAPSE
264,3/9/2022,MONTH
263,3/8/2022,SWEET
262,3/7/2022,HOARD
261,3/6/2022,CLOTH
260,3/5/2022,BRINE
259,3/4/2022,AHEAD
258,3/3/2022,MOURN
257,3/2/2022,NASTY
256,3/1/2022,RUPEE
255,2/28/2022,CHOKE
254,2/27/2022,CHANT
253,2/26/2022,SPILL
252,2/25/2022,VIVID
251,2/24/2022,BLOKE
250,2/23/2022,TROVE
249,2/22/2022,THORN
248,2/21/2022,OTHER
247,2/20/2022,TACIT
246,2/19/2022,SWILL
245,2/18/2022,DODGE
244,2/17/2022,SHAKE
243,2/16/2022,CAULK
242,2/15/2022,AROMA
241,2/14/2022,CYNIC
240,2/13/2022,ROBIN
239,2/12/2022,ULTRA
238,2/11/2022,ULCER
237,2/10/2022,PAUSE
236,2/9/2022,HUMOR
235,2/8/2022,FRAME
234,2/7/2022,ELDER
233,2/6/2022,SKILL
232,2/5/2022,ALOFT
231,2/4/2022,PLEAT
230,2/3/2022,SHARD
229,2/2/2022,MOIST
228,2/1/2022,THOSE
227,1/31/2022,LIGHT
226,1/30/2022,WRUNG
225,1/29/2022,COULD
224,1/28/2022,PERKY
223,1/27/2022,MOUNT
222,1/26/2022,WHACK
221,1/25/2022,SUGAR
220,1/24/2022,KNOLL
219,1/23/2022,CRIMP
218,1/22/2022,WINCE
217,1/21/2022,PRICK
216,1/20/2022,ROBOT
215,1/19/2022,POINT
214,1/18/2022,PROXY
213,1/17/2022,SHIRE
212,1/16/2022,SOLAR
211,1/15/2022,PANIC
210,1/14/2022,TANGY
209,1/13/2022,ABBEY
208,1/12/2022,FAVOR
207,1/11/2022,DRINK
206,1/10/2022,QUERY
205,1/9/2022,GORGE
204,1/8/2022,CRANK
203,1/7/2022,SLUMP
202,1/6/2022,BANAL
201,1/5/2022,TIGER
200,1/4/2022,SIEGE
199,1/3/2022,TRUSS
198,1/2/2022,BOOST
197,1/1/2022,REBUS
196,12/31/2021,UNIFY
195,12/30/2021,TROLL
194,12/29/2021,TAPIR
193,12/28/2021,ASIDE
192,12/27/2021,FERRY
191,12/26/2021,ACUTE
190,12/25/2021,PICKY
189,12/24/2021,WEARY
188,12/23/2021,GRIPE
187,12/22/2021,CRAZE
186,12/21/2021,PLUCK
185,12/20/2021,BRAKE
184,12/19/2021,BATON
183,12/18/2021,CHAMP
182,12/17/2021,PEACH
181,12/16/2021,USING
180,12/15/2021,TRACE
179,12/14/2021,VITAL
178,12/13/2021,SONIC
177,12/12/2021,MASSE
176,12/11/2021,CONIC
175,12/10/2021,VIRAL
174,12/9/2021,RHINO
173,12/8/2021,BREAK
172,12/7/2021,TRIAD
171,12/6/2021,EPOCH
170,12/5/2021,USHER
169,12/4/2021,EXULT
168,12/3/2021,GRIME
167,12/2/2021,CHEAT
166,12/1/2021,SOLVE
165,11/30/2021,BRING
164,11/29/2021,PROVE
163,11/28/2021,STORE
162,11/27/2021,TILDE
161,11/26/2021,CLOCK
160,11/25/2021,WROTE
159,11/24/2021,RETCH
158,11/23/2021,PERCH
157,11/22/2021,ROUGE
156,11/21/2021,RADIO
155,11/20/2021,SURER
154,11/19/2021,FINER
153,11/18/2021,VODKA
152,11/17/2021,HERON
151,11/16/2021,CHILL
150,11/15/2021,GAUDY
149,11/14/2021,PITHY
148,11/13/2021,SMART
147,11/12/2021,BADLY
146,11/11/2021,ROGUE
145,11/10/2021,GROUP
144,11/9/2021,FIXER
143,11/8/2021,GROIN
142,11/7/2021,DUCHY
141,11/6/2021,COAST
140,11/5/2021,BLURT
139,11/4/2021,PULPY
138,11/3/2021,ALTAR
137,11/2/2021,GREAT
136,11/1/2021,BRIAR
135,10/31/2021,CLICK
134,10/30/2021,GOUGE
133,10/29/2021,WORLD
132,10/28/2021,ERODE
131,10/27/2021,BOOZY
130,10/26/2021,DOZEN
129,10/25/2021,FLING
128,10/24/2021,GROWL
127,10/23/2021,ABYSS
126,10/22/2021,STEED
125,10/21/2021,ENEMA
124,10/20/2021,JAUNT
123,10/19/2021,COMET
122,10/18/2021,TWEED
121,10/17/2021,PILOT
120,10/16/2021,DUTCH
119,10/15/2021,BELCH
118,10/14/2021,OUGHT
117,10/13/2021,DOWRY
116,10/12/2021,THUMB
115,10/11/2021,HYPER
114,10/10/2021,HATCH
113,10/9/2021,ALONE
112,10/8/2021,MOTOR
111,10/7/2021,ABACK
110,10/6/2021,GUILD
109,10/5/2021,KEBAB
108,10/4/2021,SPEND
107,10/3/2021,FJORD
106,10/2/2021,ESSAY
105,10/1/2021,SPRAY
104,9/30/2021,SPICY
103,9/29/2021,AGATE
102,9/28/2021,SALAD
101,9/27/2021,BASIC
100,9/26/2021,MOULT
99,9/25/2021,CORNY
98,9/24/2021,FORGE
97,9/23/2021,CIVIC
96,9/22/2021,ISLET
95,9/21/2021,LABOR
94,9/20/2021,GAMMA
93,9/19/2021,LYING
92,9/18/2021,AUDIT
91,9/17/2021,ROUND
90,9/16/2021,LOOPY
89,9/15/2021,LUSTY
88,9/14/2021,GOLEM
87,9/13/2021,GONER
86,9/12/2021,GREET
85,9/11/2021,START
84,9/10/2021,LAPEL
83,9/9/2021,BIOME
82,9/8/2021,PARRY
81,9/7/2021,SHRUB
80,9/6/2021,FRONT
79,9/5/2021,WOOER
78,9/4/2021,TOTEM
77,9/3/2021,FLICK
76,9/2/2021,DELTA
75,9/1/2021,BLEED
74,8/31/2021,ARGUE
73,8/30/2021,SWIRL
72,8/29/2021,ERROR
71,8/28/2021,AGREE
70,8/27/2021,OFFAL
69,8/26/2021,FLUME
68,8/25/2021,CRASS
67,8/24/2021,PANEL
66,8/23/2021,STOUT
65,8/22/2021,BRIBE
64,8/21/2021,DRAIN
63,8/20/2021,YEARN
62,8/19/2021,PRINT
61,8/18/2021,SEEDY
60,8/17/2021,IVORY
59,8/16/2021,BELLY
58,8/15/2021,STAND
57,8/14/2021,FIRST
56,8/13/2021,FORTH
55,8/12/2021,BOOBY
54,8/11/2021,FLESH
53,8/10/2021,UNMET
52,8/9/2021,LINEN
51,8/8/2021,MAXIM
50,8/7/2021,POUND
49,8/6/2021,MIMIC
48,8/5/2021,SPIKE
47,8/4/2021,CLUCK
46,8/3/2021,CRATE
45,8/2/2021,DIGIT
44,8/1/2021,REPAY
43,7/31/2021,SOWER
42,7/30/2021,CRAZY
41,7/29/2021,ADOBE
40,7/28/2021,OUTDO
39,7/27/2021,TRAWL
38,7/26/2021,WHELP
37,7/25/2021,UNFED
36,7/24/2021,PAPER
35,7/23/2021,STAFF
34,7/22/2021,CROAK
33,7/21/2021,HELIX
32,7/20/2021,FLOSS
31,7/19/2021,PRIDE
30,7/18/2021,BATTY
29,7/17/2021,REACT
28,7/16/2021,MARRY
27,7/15/2021,ABASE
26,7/14/2021,COLON
25,7/13/2021,STOOL
24,7/12/2021,CRUST
23,7/11/2021,FRESH
22,7/10/2021,DEATH
21,7/9/2021,MAJOR
20,7/8/2021,FEIGN
19,7/7/2021,ABATE
18,7/6/2021,BENCH
17,7/5/2021,QUIET
16,7/4/2021,GRADE
15,7/3/2021,STINK
14,7/2/2021,KARMA
13,7/1/2021,MODEL
12,6/30/2021,DWARF
11,6/29/2021,HEATH
10,6/28/2021,SERVE
9,6/27/2021,NAVAL
8,6/26/2021,EVADE
7,6/25/2021,FOCAL
6,6/24/2021,BLUSH
5,6/23/2021,AWAKE
4,6/22/2021,HUMPH
3,6/21/2021,SISSY
2,6/20/2021,REBUT
1,6/19/2021,CIGAR
